('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         719064 function calls (700216 primitive calls) in 1.607 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1540    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1428    0.003    0.000    0.003    0.000 __init__.py:648(_linkage_fixer)
     1379    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
     1322    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1295    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1295    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
 1114/787    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
 1072/194    0.004    0.000    0.050    0.000 sre_parse.py:436(_parse_sub)
     1032    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     1032    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1029    0.000    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
     1014    0.001    0.000    0.002    0.000 sre_parse.py:296(_class_escape)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      870    0.001    0.000    0.001    0.000 contextlib.py:102(__init__)
      870    0.000    0.000    0.001    0.000 contextlib.py:130(__enter__)
      870    0.001    0.000    0.001    0.000 contextlib.py:139(__exit__)
      870    0.000    0.000    0.002    0.000 contextlib.py:279(helper)
      832    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      788    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      765    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      759    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      753    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      734    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      734    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      727    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      709    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
  705/702    0.006    0.000    0.073    0.000 {built-in method builtins.__build_class__}
      690    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      690    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      687    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
      687    0.005    0.000    0.007    0.000 sre_compile.py:292(_optimize_charset)
      657    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      656    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      646    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      638    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      624    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      624    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      613    0.000    0.000    0.005    0.000 enum.py:359(__call__)
      606    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      603    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      600    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      594    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      592    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      590    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      555    0.001    0.000    0.005    0.000 _connection.py:398(_extract_next_receive_event)
      555    0.001    0.000    0.009    0.000 _connection.py:426(next_event)
      554    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      548    0.000    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      528    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
  525/524    0.001    0.000    0.002    0.000 _readers.py:157(__call__)
      516    0.000    0.000    0.000    0.000 element.py:1543(get)
      512    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
      474    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      474    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      455    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      455    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      455    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      454    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      449    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
  442/253    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      427    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      425    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      421    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      416    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      416    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      399    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
  388/372    0.000    0.000    0.008    0.000 typing.py:306(inner)
      386    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      383    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      382    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      361    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      331    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      324    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      321    0.001    0.000    0.083    0.000 re.py:288(_compile)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      308    0.000    0.000    0.083    0.000 re.py:249(compile)
      302    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      301    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      301    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      301    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    298/1    0.005    0.000    1.607    1.607 {built-in method builtins.exec}
      298    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      297    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      296    0.000    0.000    0.001    0.000 _connection.py:352(receive_data)
      296    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      296    0.000    0.000    0.000    0.000 _receivebuffer.py:57(__bool__)
      296    0.001    0.000    1.052    0.004 sync.py:124(read)
      296    0.000    0.000    1.049    0.004 ssl.py:1150(read)
      296    0.000    0.000    1.049    0.004 ssl.py:1281(recv)
      296    1.048    0.004    1.048    0.004 {method 'read' of '_ssl._SSLSocket' objects}
    285/6    0.000    0.000    0.204    0.034 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      283    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      281    0.000    0.000    0.000    0.000 dataclasses.py:424(<genexpr>)
      275    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
      274    0.000    0.000    0.000    0.000 typing.py:1737(cast)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      267    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      267    0.000    0.000    0.000    0.000 _connection.py:330(_respond_to_state_changes)
      267    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
      265    0.001    0.000    0.003    0.000 _connection.py:260(_process_event)
      265    0.000    0.000    0.001    0.000 _state.py:275(process_event)
      265    0.001    0.000    0.001    0.000 _state.py:318(_fire_state_triggered_transitions)
      264    0.000    0.000    0.000    0.000 typing_extensions.py:154(_should_collect_from_parameters)
      264    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      264    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      262    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
    262/7    0.001    0.000    0.206    0.029 <frozen importlib._bootstrap>:1022(_find_and_load)
    261/6    0.001    0.000    0.205    0.034 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      259    0.002    0.000    1.066    0.004 http11.py:209(_receive_event)
      259    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
      257    0.001    0.000    0.249    0.001 http11.py:196(_receive_response_body)
      257    0.000    0.000    0.249    0.001 http11.py:330(__iter__)
      257    0.000    0.000    0.000    0.000 _events.py:299(__init__)
      257    0.000    0.000    0.249    0.001 connection_pool.py:401(__iter__)
      257    0.000    0.000    0.249    0.001 default.py:125(__iter__)
      257    0.000    0.000    0.260    0.001 _models.py:884(iter_bytes)
      257    0.000    0.000    0.250    0.001 _models.py:935(iter_raw)
      257    0.000    0.000    0.249    0.001 _client.py:152(__iter__)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      256    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      254    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      251    0.009    0.000    0.009    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      251    0.000    0.000    0.009    0.000 _decoders.py:95(decode)
      243    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      241    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      241    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
      240    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      239    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      239    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      239    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      234    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  234/231    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
